,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company,year
334,Ian M. Narev,Financials,Banks: Commercial and Savings,"Sydney, Australia",http://www.commbank.com.au,13,"45,129",Commonwealth Bank of Australia,2017
335,Ren Hongbin,Industrials,Industrial Machinery,"Beijing, China",http://www.sinomach.com.cn,7,"115,390",Sinomach,2017
336,Stephan Sturm,Health Care,Health Care: Medical Facilities,"Bad Homburg, Germany",http://www.fresenius.com,8,"232,873",Fresenius,2017
337,Lei Fanpei,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.spacechina.com,3,"170,357",China Aerospace Science & Technology,2017
338,Yang Zhaoqian,Energy,"Mining, Crude-Oil Production","""Xi'an, China""",http://www.shccig.com,3,"123,559",Shaanxi Coal & Chemical Industry,2017
339,Hui Kayan,Financials,Real estate,"Guangzhou, China",http://www.evergrande.com,2,"89,250",China Evergrande Group,2017
340,Li Baomin,Energy,"Mining, Crude-Oil Production","Guixi, China",http://www.jxcc.com,5,"25,460",Jiangxi Copper,2017
341,Kengo Sakurada,Financials,Insurance: Property and Casualty (Stock),"Tokyo, Japan",http://www.sompo-hd.com,21,"47,430",Sompo Holdings,2017
342,Zhang Zhengao,Financials,Real estate,"Beijing, China",http://www.poly.com.cn,3,"76,425",China Poly Group,2017
343,Evan G. Greenberg,Financials,Insurance: Property and Casualty (Stock),"Zurich, Switzerland",http://www.chubb.com,1,"31,000",Chubb,2017
344,Li Shufu,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hangzhou, China",http://www.geely.com,6,"60,712",Zhejiang Geely Holding Group,2017
345,Christopher M. Crane,Energy,Utilities,"Chicago, IL",http://www.exeloncorp.com,14,"34,396",Exelon,2017
346,Phebe N. Novakovic,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA",http://www.generaldynamics.com,17,"98,800",General Dynamics,2017
347,Gavin E. Patterson,Telecommunications,Telecommunications,"London, Britain",http://www.btplc.com,23,"106,400",BT Group,2017
348,Fujio Mitarai,Technology,"Computers, Office Equipment","Tokyo, Japan",http://www.canon.com,23,"197,673",Canon,2017
349,Wang Tingge,Wholesalers,Trading,"Hangzhou, China",http://www.wuchanzhongda.cn,7,"18,150",Wuchan Zhongda Group,2017
350,Hitoshi Ochi,Chemicals,Chemicals,"Tokyo, Japan",http://www.mitsubishichem-hd.co.jp,23,"69,291",Mitsubishi Chemical Holdings,2017
351,Andrew Mackenzie,Energy,"Mining, Crude-Oil Production","Melbourne, Australia",http://www.bhpbilliton.com,23,"26,827",BHP Billiton,2017
352,Bharat B. Masrani,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",http://www.td.com,18,"81,233",Toronto-Dominion Bank,2017
353,Yasuyuki Yoshinaga,Motor Vehicles & Parts,Motor Vehicles and Parts,"Tokyo, Japan",http://www.subaru.co.jp,15,"36,668",Subaru,2017
354,Masaaki Tsuya,Motor Vehicles & Parts,Motor Vehicles and Parts,"Tokyo, Japan",http://www.bridgestone.com,23,"143,616",Bridgestone,2017
355,Tidjane Thiam,Financials,Banks: Commercial and Savings,"Zurich, Switzerland",http://www.credit-suisse.com,23,"47,170",Credit Suisse Group,2017
356,Gao Hongwei,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.casic.com.cn,2,"148,682",China Aerospace Science & Industry,2017
357,Eiji Hayashida,Materials,Metals,"Tokyo, Japan",http://www.jfe-holdings.co.jp,15,"60,439",JFE Holdings,2017
358,Yasuhiro Sato,Financials,Banks: Commercial and Savings,"Tokyo, Japan",http://www.mizuho-fg.co.jp,17,"59,179",Mizuho Financial Group,2017
359,John F. Milligan,Health Care,Pharmaceuticals,"Foster City, CA",http://www.gilead.com,3,"9,000",Gilead Sciences,2017
360,Jay D. Debertin,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, MN",http://www.chsinc.com,10,"12,157",CHS,2017
361,D. Rajkumar,Energy,Petroleum Refining,"Mumbai, India",http://www.bharatpetroleum.in,14,"13,395",Bharat Petroleum,2017
362,Inge G. Thulin,Industrials,Miscellaneous,"St. Paul, MN",http://www.3m.com,23,"91,584",3M,2017
363,Rui Xiaowu,Technology,"Electronics, Electrical Equip.","Beijing, China",http://www.cec.com.cn,7,"144,659",China Electronics,2017
364,Albert Manifold,Materials,"Building Materials, Glass","Dublin, Ireland",http://www.crh.com,14,"86,778",CRH,2017
365,Wu Qiang,Industrials,Industrial Machinery,"Beijing, China",http://www.cssc.net.cn,2,"68,025",China State Shipbuilding,2017
366,Shen Wenrong,Materials,Metals,"Zhangjiagang, China",http://www.shasteel.cn,9,"35,133",Jiangsu Shagang Group,2017
367,Xu Lirong,Transportation,Shipping,"Shanghai, China",http://www.coscoshipping.com,10,"106,478",China COSCO Shipping,2017
368,Masamichi Kogai,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hiroshima, Japan",http://www.mazda.com,23,"48,849",Mazda Motor,2017
369,Wang Binghua,Energy,Energy,"Beijing, China",http://www.spic.com.cn,6,"127,343",State Power Investment,2017
370,Mark Liu,Technology,Semiconductors and Other Electronic Components,"Hsinchu, Taiwan",http://www.tsmc.com,3,"46,968",Taiwan Semiconductor Manufacturing,2017
371,Fabio Schvartsman,Energy,"Mining, Crude-Oil Production","Rio de Janeiro, Brazil",http://www.vale.com,11,"73,062",Vale,2017
372,Jeffrey L. Bewkes,Media,Entertainment,"New York, NY",http://www.timewarner.com,16,"25,000",Time Warner,2017
373,Li Weimin,Energy,"Mining, Crude-Oil Production","Jinan , China",http://www.snjt.com,6,"179,689",Shandong Energy Group,2017
374,Toshihiro Suzuki,Motor Vehicles & Parts,Motor Vehicles and Parts,"Hamamatsu, Japan",http://www.globalsuzuki.com,23,"62,992",Suzuki Motor,2017
375,Bhavesh V. Patel,Chemicals,Chemicals,"Rotterdam, Netherlands",http://www.lyb.com,10,"13,000",LyondellBasell Industries,2017
376,Frans A. van Houten,Health Care,Medical Products and Equipment,"Amsterdam, Netherlands",http://www.philips.com,23,"114,731",Royal Philips,2017
377,Thomas M. Rutledge,Telecommunications,Telecommunications,"Stamford, CT",http://www.charter.com,1,"91,500",Charter Communications,2017
378,Omar S. Ishrak,Health Care,Medical Products and Equipment,"Dublin, Ireland",http://www.medtronic.com,1,"98,017",Medtronic,2017
379,John E. Schlifske,Financials,"Insurance: Life, Health (Mutual)","Milwaukee, WI",http://www.northwesternmutual.com,23,"5,646",Northwestern Mutual,2017
380,Jean-Paul Agon,Household Products,Household and Personal Products,"Clichy, France",http://www.loreal.com,23,"89,331",L’Oreal,2017
381,Wang Jianlin,Financials,Real estate,"Beijing, China",http://www.wanda-group.com,2,"155,905",Dalian Wanda Group,2017
382,Shuichi Watanabe,Wholesalers,Wholesalers: Health Care,"Tokyo, Japan",http://www.medipal.co.jp,15,"15,745",Medipal Holdings,2017
383,Zhao Jianguo,Energy,Utilities,"Beijing, China",http://www.chd.com.cn,6,"107,000",China Huadian,2017
384,Ng Keng Hooi,Financials,"Insurance: Life, Health (stock)","Hong Kong, China",http://www.aia.com,3,"20,000",AIA Group,2017
385,Mukesh Kumar Surana,Energy,Petroleum Refining,"Mumbai, India",http://www.hindustanpetroleum.com,14,"10,422",Hindustan Petroleum,2017
386,Herbert Bolliger,Food & Drug Stores,Food and Drug Stores,"Zurich, Switzerland",http://www.migros.ch,23,"77,704",Migros Group,2017
387,Jean-Marc Janaillac,Transportation,Airlines,"Paris, France",http://www.airfranceklm.com,21,"82,175",Air France-KLM Group,2017
388,Richard J. Cousins,"Hotels, Restaurants & Leisure",Food Services,"Chertsey, Britain",http://www.compass-group.com,16,"527,180",Compass Group,2017
389,Paal Kibsgaard,Energy,Oil & Gas Equipment Services,"Houston, TX",http://www.slb.com,17,"100,000",Schlumberger,2017
390,Shigeki Iwane,Energy,Utilities,"Osaka, Japan",http://www.kepco.co.jp,23,"32,666",Kansai Electric Power,2017
391,Barry Lam,Technology,"Computers, Office Equipment","Taoyuan, Taiwan",http://www.quantatw.com,12,"92,698",Quanta Computer,2017
392,Brian C. Hartzer,Financials,Banks: Commercial and Savings,"Sydney, Australia",http://www.westpac.com.au,13,"35,280",Westpac Banking,2017
393,Joos Sutter,Food & Drug Stores,Food and Drug Stores,"Basel, Switzerland",http://www.coop.ch,8,"73,451",Coop Group,2017
394,Mark Zuckerberg,Technology,Internet Services and Retailing,"Menlo Park, CA",http://www.facebook.com,1,"17,048",Facebook,2017
395,Alan D. Schnitzer,Financials,Insurance: Property and Casualty (Stock),"New York, NY",http://www.travelers.com,14,"30,900",Travelers Cos.,2017
396,Richard D. Fairbank,Financials,Banks: Commercial and Savings,"McLean, VA",http://www.capitalone.com,7,"47,300",Capital One Financial,2017
397,James R. Murdoch,Media,Entertainment,"New York, NY",http://www.21cf.com,23,"21,500",Twenty-First Century Fox,2017
398,Qiao Baoping,Energy,Energy,"Beijing, China",http://www.cgdc.com.cn,8,"124,056",China Guodian,2017
399,Eric Olsen,Materials,"Building Materials, Glass","Jona, Switzerland",http://www.lafargeholcim.com,9,"90,903",LafargeHolcim,2017
400,Jean-Pascal Tricoire,Technology,"Electronics, Electrical Equip.","Rueil-Malmaison, France",http://www.schneider-electric.com,16,"143,901",Schneider Electric,2017
401,Xiong Qun Li,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.cetc.com.cn,2,"158,064",China Electronics Technology Group,2017
402,Stuart Parker,Financials,Insurance: Property and Casualty (Stock),"San Antonio, TX",http://www.usaa.com,4,"29,943",USAA,2017
403,Michael J. Kasbar,Energy,Energy,"Miami, FL",http://www.wfscorp.com,6,"5,000",World Fuel Services,2017
404,Oliver Windholz,Wholesalers,Wholesalers: Health Care,"Mannheim, Germany",http://www.phoenixgroup.eu,7,"26,611",Phoenix Pharmahandel,2017
405,Antoine Frerot,Energy,Utilities,"Paris, France",http://www.veolia.com,15,"156,225",Veolia Environnement,2017
406,Andrew G. Thorburn,Financials,Banks: Commercial and Savings,"Docklands, Australia",http://www.nab.com.au,22,"34,263",National Australia Bank,2017
407,Andre Calantzopoulos,"Food, Beverages & Tobacco",Tobacco,"New York, NY",http://www.pmi.com,9,"79,500",Philip Morris International,2017
408,Samuel R. Allen,Industrials,Construction and Farm Machinery,"Moline, IL",http://www.johndeere.com,23,"56,767",Deere,2017
409,Tetsuro Tomita,Transportation,Railroads,"Tokyo, Japan",http://www.jreast.co.jp,23,"85,834",East Japan Railway,2017
410,Willem A.J. van Duin,Financials,"Insurance: Life, Health (Mutual)","Zeist, Netherlands",http://www.achmea.nl,4,"14,921",Achmea,2017
411,Bernardo Hees,"Food, Beverages & Tobacco",Food Consumer Products,"Pittsburgh, PA",http://www.kraftheinzcompany.com,3,"41,000",Kraft Heinz,2017
412,Ming-Ho Hsiung,Financials,"Insurance: Life, Health (stock)","Taipei, Taiwan",http://www.cathaylife.com.tw,16,"36,578",Cathay Life Insurance,2017
413,Robert M. Dutkowsky,Wholesalers,Wholesalers: Electronics and Office Equipment,"Clearwater, FL",http://www.techdata.com,19,"9,500",Tech Data,2017
414,Chang-Soo Kim,Financials,"Insurance: Life, Health (stock)","Seoul, South Korea",http://www.samsunglife.com,21,"5,284",Samsung Life Insurance,2017
415,William J. Amelio,Wholesalers,Wholesalers: Electronics and Office Equipment,"Phoenix, AZ",http://www.avnet.com,7,"17,700",Avnet,2017
416,Rajeev Suri,Technology,Network and Other Communications Equipment,"Espoo, Finland",http://www.nokia.com,19,"102,687",Nokia,2017
417,Al Monaco,Energy,Pipelines,"Calgary, Alberta, Canada",http://www.enbridge.com,4,"7,733",Enbridge,2017
418,Rafael Villaseca Marco,Energy,Utilities,"Barcelona, Spain",http://www.gasnaturalfenosa.com,9,"17,229",Gas Natural Fenosa,2017
419,Shayne Elliott,Financials,Banks: Commercial and Savings,"Docklands, Australia",http://www.anz.com,14,"46,554",Australia & New Zealand Banking Group,2017
420,Borje Ekholm,Technology,Network and Other Communications Equipment,"Stockholm, Sweden",http://www.ericsson.com,23,"111,464",LM Ericsson,2017
421,Masayoshi Matsumoto,Motor Vehicles & Parts,Motor Vehicles and Parts,"Osaka, Japan",http://www.global-sei.com,23,"248,330",Sumitomo Electric Industries,2017
422,Irene B. Rosenfeld,"Food, Beverages & Tobacco",Food Consumer Products,"Deerfield, IL",http://www.mondelezinternational.com,10,"90,000",Mondelez International,2017
423,Bruce Hemphill,Financials,"Insurance: Life, Health (stock)","London, Britain",http://www.oldmutualplc.com,16,"68,527",Old Mutual,2017
424,Takashi Tsukioka,Energy,Petroleum Refining,"Tokyo, Japan",http://www.idemitsu.com,23,"9,139",Idemitsu Kosan,2017
425,Brian J. Porter,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",http://www.scotiabank.com,20,"88,901",Bank of Nova Scotia,2017
426,Jeffrey Gennette,Retailing,General Merchandisers,"Cincinnati, OH",http://www.macysinc.com,23,"148,300",Macy’s,2017
427,Antonio Huertas Mejias,Financials,Insurance: Property and Casualty (Stock),"Madrid, Spain",http://www.mapfre.com,10,"37,020",Mapfre Group,2017
428,Philippe Wahl,Transportation,"Mail, Package, and Freight Delivery","Paris, France",http://www.laposte.fr,22,"240,407",La Poste,2017
429,Pablo Isla Alvarez de Tejera,Retailing,Specialty Retailers,"Arteixo, Spain",http://www.inditex.com,2,"162,450",Inditex,2017
430,Richard A. Gonzalez,Health Care,Pharmaceuticals,"North Chicago, IL",http://www.abbvie.com,2,"30,000",AbbVie,2017
431,Zhang Youxi,Energy,"Mining, Crude-Oil Production","Datong, China",http://www.dtcoalmine.com,5,"162,542",Datong Coal Mine Group,2017
432,Hee-Tae Kang,Retailing,General Merchandisers,"Seoul, South Korea",http://www.lotteshopping.com,4,"26,357",Lotte Shopping,2017
433,Keith Skeoch,Financials,Diversified Financials,"Edinburgh, Britain",http://www.standardlife.com,19,"6,302",Standard Life,2017
434,Wu Huatai,Energy,"Mining, Crude-Oil Production","Taiyuan, China",http://www.sxcc.com.cn,5,"209,817",Shanxi Coking Coal Group,2017
435,Alain Dehaze,Business Services,Temporary Help,"Glattbrugg, Switzerland",http://www.adeccogroup.com,19,"33,000",Adecco Group,2017
436,Willie Walsh,Transportation,Airlines,"Harmondsworth, Britain",http://www.iairgroup.com,20,"63,387",International Airlines Group,2017
437,Stephen J. Easterbrook,"Hotels, Restaurants & Leisure",Food Services,"Oak Brook, IL",http://www.aboutmcdonalds.com,23,"375,000",McDonald’s,2017
438,Takashi Niino,Technology,Information Technology Services,"Tokyo, Japan",http://www.nec.com,23,"107,729",NEC,2017
439,Edward D. Breen,Chemicals,Chemicals,"Wilmington, DE",http://www.dupont.com,23,"46,000",DuPont,2017
440,Zhou Qiang,Wholesalers,Wholesalers: Diversified,"Beijing, China",http://www.cnaf.com,7,"11,739",China National Aviation Fuel Group,2017
441,Wesley G. Bush,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA",http://www.northropgrumman.com,18,"67,000",Northrop Grumman,2017
442,J. Bruce Flatt,Financials,Diversified Financials,"Toronto, Ontario, Canada",http://www.brookfield.com,1,"55,700",Brookfield Asset Management,2017
443,Gustavo J. Vollmer A.,Financials,Banks: Commercial and Savings,"Caracas, Venezuela",http://www.msf.com,1,"8,370",Mercantil Servicios Financieros,2017
444,William R. McDermott,Technology,Computer Software,"Walldorf, Germany",http://www.sap.com,2,"84,183",SAP,2017
445,Ryan M. Lance,Energy,"Mining, Crude-Oil Production","Houston, TX",http://www.conocophillips.com,23,"13,300",ConocoPhillips,2017
446,Zhai Hong,Energy,"Mining, Crude-Oil Production","Yangquan, China",http://www.ymjt.com.cn%20,5,"146,236",Yangquan Coal Industry Group,2017
447,Emmanuel Faber,"Food, Beverages & Tobacco",Food Consumer Products,"Paris, France",http://www.danone.com,23,"99,187",Danone,2017
448,Chi-Hun Choi,Engineering & Construction,"Engineering, Construction","Seoul, South Korea",http://www.samsungcnt.com,1,"13,898",Samsung C&T,2017
449,Li Jinping,Energy,"Mining, Crude-Oil Production","Changzhi, China",http://www.chinaluan.com,5,"95,666",Shanxi LuAn Mining Group,2017
450,Thomas A. Kennedy,Aerospace & Defense,Aerospace and Defense,"Waltham, MA",http://www.raytheon.com,22,"63,000",Raytheon,2017
451,Fang Hongbo,Technology,"Electronics, Electrical Equip.","Foshan, China",http://www.midea.com,2,"126,418",Midea Group,2017
452,Satoru Katsuno,Energy,Utilities,"Nagoya, Japan",http://www.chuden.co.jp,23,"30,635",Chubu Electric Power,2017
453,Charles Woodburn,Aerospace & Defense,Aerospace and Defense,"London, Britain",http://www.baesystems.com,23,"76,000",BAE Systems,2017
454,Gregory J. Goff,Energy,Petroleum Refining,"San Antonio, TX",http://www.tsocorp.com,11,"6,308",Andeavor,2017
455,Chen Jinhang,Energy,Energy,"Beijing, China",http://www.china-cdt.com,8,"97,091",China Datang,2017
456,Michael M. McNamara,Technology,Semiconductors and Other Electronic Components,Singapore,http://www.flex.com,17,"200,000",Flex,2017
457,Michael J. Long,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, CO",http://www.arrow.com,4,"18,700",Arrow Electronics,2017
458,Jan Rinnert,Materials,Metals,"Hanau, Germany",http://www.heraeus.com,7,"12,369",Heraeus Holding,2017
459,Jui-Tsung Chen,Technology,"Computers, Office Equipment","Taipei, Taiwan",http://www.compal.com,6,"64,728",Compal Electronics,2017
460,Lin Tengjiao,Financials,Diversified Financials,"Fuzhou, China",http://www.yangofinance.com,1,"10,234",Yango Financial Holding,2017
461,Steven M. Mollenkopf,Technology,Semiconductors and Other Electronic Components,"San Diego, CA",http://www.qualcomm.com,4,"30,500",Qualcomm,2017
462,Taizo Kubo,Wholesalers,Wholesalers: Health Care,"Tokyo, Japan",http://www.alfresa.com,8,"13,217",Alfresa Holdings,2017
463,Daniel Zhang,Technology,Internet Services and Retailing,"Hangzhou, China",http://www.alibabagroup.com,1,"50,097",Alibaba Group Holding,2017
464,Levent Cakiroglu,Energy,Energy,"Istanbul, Turkey",http://www.koc.com.tr,16,"95,456",Koc Holding,2017
465,Susan Patricia Griffith,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, OH",http://www.progressive.com,4,"31,721",Progressive,2017
466,Lynn J. Good,Energy,Utilities,"Charlotte, NC",http://www.duke-energy.com,14,"28,798",Duke Energy,2017
467,Jean-Dominique Senard,Motor Vehicles & Parts,Motor Vehicles and Parts,"Clermont-Ferrand, France",http://www.michelin.com,23,"105,654",Michelin,2017
468,Mo Bin,Financials,Real estate,"Foshan, China",http://www.countrygarden.com.cn,1,"94,450",Country Garden Holdings,2017
469,Jean-Francois van Boxmeer,"Food, Beverages & Tobacco",Beverages,"Amsterdam, Netherlands",http://www.theheinekencompany.com,11,"73,525",Heineken Holding,2017
470,A. James Teague,Energy,Pipelines,"Houston, TX",http://www.enterpriseproducts.com,7,"6,800",Enterprise Products Partners,2017
471,Pascal Soriot,Health Care,Pharmaceuticals,"Cambridge, Britain",http://www.astrazeneca.com,19,"59,700",AstraZeneca,2017
472,Robert A. Bradway,Health Care,Pharmaceuticals,"Thousand Oaks, CA",http://www.amgen.com,2,"19,200",Amgen,2017
473,Wiebe Draijer,Financials,Banks: Commercial and Savings,"Utrecht, Netherlands",http://www.rabobank.com,23,"40,029",Rabobank Group,2017
474,Michel Combes,Telecommunications,Telecommunications,"Amsterdam, Netherlands",http://www.altice.net,1,"49,732",Altice,2017
475,Gerald W. Schwartz,Technology,Semiconductors and Other Electronic Components,"Toronto, Ontario, Canada",http://www.onex.com,18,"161,000",Onex,2017
476,Pietro Satriano,Wholesalers,Wholesalers: Food and Grocery,"Rosemont, IL",http://www.usfoods.com,2,"25,000",US Foods Holding,2017
477,He Tiancai,Energy,"Mining, Crude-Oil Production","Jincheng, China",http://www.jamg.cn,5,"135,691",Shanxi Jincheng Anthracite Coal Mining Group,2017
478,Jacques van den Broek,Business Services,Temporary Help,"Diemen, Netherlands",http://www.randstad.com,5,"32,280",Randstad Holding,2017
479,Pony Ma,Technology,Internet Services and Retailing,"Shenzhen, China",http://www.tencent.com,1,"38,775",Tencent Holdings,2017
480,Sang-Beom Han,Technology,"Electronics, Electrical Equip.","Seoul, South Korea",http://www.lgdisplay.com,6,"49,094",LG Display,2017
481,Sheikh Ahmed bin Saeed Al Maktoum,Transportation,Airlines,"Dubai, U.A.E",http://www.theemiratesgroup.com,2,"64,768",Emirates Group,2017
482,Andrew J. Cecere,Financials,Banks: Commercial and Savings,"Minneapolis, MN",http://www.usbank.com,12,"71,191",U.S. Bancorp,2017
483,Karl-Johan Persson,Retailing,Specialty Retailers,"Stockholm, Sweden",http://www.hm.com,2,"114,586",H & M Hennes & Mauritz,2017
484,Daniel P. Amos,Financials,"Insurance: Life, Health (stock)","Columbus, GA",http://www.aflac.com,10,"10,212",Aflac,2017
485,Michel Landel,"Hotels, Restaurants & Leisure",Food Services,"Issy-les-Moulineaux, France",http://www.sodexo.com,18,"425,594",Sodexo,2017
486,Ren Jun,Retailing,Specialty Retailers,"Nanjing, China",http://www.suning.com,1,"60,354",Suning Commerce Group,2017
487,Jin-Soo Huh,Energy,Petroleum Refining,"Seoul, South Korea",http://www.gscaltex.com,6,"2,949",GS Caltex,2017
488,Thilo Mannhardt,Energy,Energy,"Sao Paulo, Brazil",http://www.ultra.com.br,8,"15,173",Ultrapar Holdings,2017
489,Huang Wenzhou,Wholesalers,Trading,"Xiamen, China",http://www.chinacdc.com,1,"18,381",Xiamen C&D,2017
490,Edward S. Lampert,Retailing,General Merchandisers,"Hoffman Estates, IL",http://www.searsholdings.com,23,"140,000",Sears Holdings,2017
491,Xu Xianping,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.genertec.com.cn,4,"38,589",China General Technology,2017
492,John Pettigrew,Energy,Utilities,"London, Britain",http://www.nationalgrid.com,12,"22,132",National Grid,2017
493,Todd J. Vasos,Retailing,Specialty Retailers,"Goodlettsville, TN",http://www.dollargeneral.com,1,"121,000",Dollar General,2017
494,Flavio Cattaneo,Telecommunications,Telecommunications,"Milan, Italy",http://www.telecomitalia.com,18,"61,227",Telecom Italia,2017
495,Xu Xiaoxi,Wholesalers,Trading,"Xiamen, China",http://www.itgholding.com.cn,1,"18,454",Xiamen ITG Holding Group,2017
496,Shang Jiqiang,Wholesalers,Trading,"Urumqi, China",http://www.guanghui.com,1,"65,616",Xinjiang Guanghui Industry Investment,2017
497,Yitzhak Peterburg,Health Care,Pharmaceuticals,"Petach Tikva, Israel",http://www.tevapharm.com,1,"56,960",Teva Pharmaceutical Industries,2017
498,Wan Feng,Financials,"Insurance: Life, Health (stock)","Beijing, China",http://www.newchinalife.com,2,"54,378",New China Life Insurance,2017
499,David T. Potts,Food & Drug Stores,Food and Drug Stores,"Bradford, Britain",http://www.morrisons.com,13,"77,210",Wm. Morrison Supermarkets,2017
500,Friedrich Joussen,Business Services,Travel Services,"Hanover, Germany",http://www.tuigroup.com,23,"66,779",TUI,2017
